nohup: ignoring input
 * Serving Flask app 'test' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://10.0.0.179:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [09/May/2022 19:39:34] "GET /robots.txt HTTP/1.0" 404 -
127.0.0.1 - - [09/May/2022 19:39:34] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [09/May/2022 19:39:35] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [10/May/2022 14:15:14] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 14:15:16] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 15:18:31] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 15:18:33] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 15:18:39] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 15:18:40] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 15:19:56] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 15:19:57] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 16:30:40] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 16:30:41] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 16:31:03] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 16:31:04] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 16:31:07] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 16:31:08] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 19:36:46] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 19:36:47] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:08:45] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:08:47] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:14:56] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:14:58] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:27:49] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:27:51] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:27:53] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:27:54] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:28:30] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:28:32] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:28:32] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:28:34] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:52:18] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 20:52:20] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:03:43] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:03:44] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:47:13] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:47:15] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:47:54] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:47:56] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:49:10] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:49:11] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:55:28] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:55:30] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:56:13] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:56:14] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:58:51] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:58:54] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:58:54] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 21:58:57] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:01:00] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:01:01] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:01:24] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:01:26] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:02:00] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:02:02] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:03:02] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:03:04] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:05:44] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:05:46] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:35:15] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [10/May/2022 22:35:17] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [11/May/2022 01:04:00] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [11/May/2022 01:04:02] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [11/May/2022 16:36:55] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [11/May/2022 16:36:57] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 15:11:33] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 15:11:34] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 15:47:28] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 15:47:30] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 17:20:07] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 17:20:08] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 19:17:58] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 19:17:59] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 19:32:20] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 19:32:21] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 19:36:46] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 19:36:46] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 19:37:13] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 19:37:14] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 19:53:18] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 19:53:19] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 20:23:36] "GET /trm HTTP/1.0" 200 -
